date,year,month,quarter,day_name
2024-10-30 16:07:37,2024,10,2024Q4,Wednesday
2022-04-17 09:31:40,2022,4,2022Q2,Sunday
2022-11-08 12:38:20,2022,11,2022Q4,Tuesday
2022-05-18 17:24:55,2022,5,2022Q2,Wednesday
2024-01-25 05:51:54,2024,1,2024Q1,Thursday
2024-11-18 23:48:19,2024,11,2024Q4,Monday
2024-11-30 01:59:35,2024,11,2024Q4,Saturday
2023-12-10 20:36:37,2023,12,2023Q4,Sunday
2024-11-18 20:30:48,2024,11,2024Q4,Monday
2023-09-20 08:09:17,2023,9,2023Q3,Wednesday
2022-02-19 22:03:45,2022,2,2022Q1,Saturday
2023-05-12 08:32:22,2023,5,2023Q2,Friday
2024-11-09 12:27:13,2024,11,2024Q4,Saturday
2023-12-04 20:45:17,2023,12,2023Q4,Monday
2022-01-08 03:55:43,2022,1,2022Q1,Saturday
2023-12-06 04:26:44,2023,12,2023Q4,Wednesday
2025-01-28 00:41:06,2025,1,2025Q1,Tuesday
2024-02-23 02:18:48,2024,2,2024Q1,Friday
2024-12-28 17:33:41,2024,12,2024Q4,Saturday
2023-03-10 03:54:21,2023,3,2023Q1,Friday
2022-04-25 21:38:26,2022,4,2022Q2,Monday
2023-10-15 07:18:00,2023,10,2023Q4,Sunday
2023-12-06 17:57:08,2023,12,2023Q4,Wednesday
2023-01-20 12:05:45,2023,1,2023Q1,Friday
2023-06-16 10:49:49,2023,6,2023Q2,Friday
2024-06-01 19:28:31,2024,6,2024Q2,Saturday
2023-10-27 19:16:54,2023,10,2023Q4,Friday
2022-10-12 05:51:05,2022,10,2022Q4,Wednesday
2023-05-16 02:12:53,2023,5,2023Q2,Tuesday
2022-09-10 13:04:05,2022,9,2022Q3,Saturday
2022-10-01 06:32:26,2022,10,2022Q4,Saturday
2023-04-11 12:22:52,2023,4,2023Q2,Tuesday
2023-08-05 00:00:43,2023,8,2023Q3,Saturday
2025-01-20 05:49:43,2025,1,2025Q1,Monday
2023-07-28 08:12:14,2023,7,2023Q3,Friday
2023-08-13 21:38:38,2023,8,2023Q3,Sunday
2022-06-03 11:40:18,2022,6,2022Q2,Friday
2022-09-24 00:32:25,2022,9,2022Q3,Saturday
2023-06-17 20:04:24,2023,6,2023Q2,Saturday
2022-07-16 18:40:52,2022,7,2022Q3,Saturday
2022-06-08 15:46:55,2022,6,2022Q2,Wednesday
2025-02-06 01:21:16,2025,2,2025Q1,Thursday
2025-04-30 19:15:08,2025,4,2025Q2,Wednesday
2023-07-16 22:36:11,2023,7,2023Q3,Sunday
2025-06-15 20:54:10,2025,6,2025Q2,Sunday
2023-01-18 06:53:14,2023,1,2023Q1,Wednesday
2023-02-14 21:35:44,2023,2,2023Q1,Tuesday
2024-12-07 09:17:28,2024,12,2024Q4,Saturday
2024-09-21 18:51:09,2024,9,2024Q3,Saturday
2022-12-06 04:39:28,2022,12,2022Q4,Tuesday
2025-01-06 00:38:47,2025,1,2025Q1,Monday
2025-03-02 17:17:07,2025,3,2025Q1,Sunday
2023-01-31 05:23:01,2023,1,2023Q1,Tuesday
2023-06-09 22:41:03,2023,6,2023Q2,Friday
2025-06-17 02:20:00,2025,6,2025Q2,Tuesday
2022-12-13 04:47:29,2022,12,2022Q4,Tuesday
2023-04-20 08:41:04,2023,4,2023Q2,Thursday
2024-04-15 17:50:20,2024,4,2024Q2,Monday
2023-02-01 09:08:03,2023,2,2023Q1,Wednesday
2024-07-02 17:56:11,2024,7,2024Q3,Tuesday
2024-01-19 14:31:46,2024,1,2024Q1,Friday
2022-07-18 20:08:56,2022,7,2022Q3,Monday
2024-07-05 14:02:40,2024,7,2024Q3,Friday
2022-08-26 19:50:05,2022,8,2022Q3,Friday
2022-06-30 12:45:55,2022,6,2022Q2,Thursday
2024-10-21 04:43:14,2024,10,2024Q4,Monday
2025-07-14 22:22:41,2025,7,2025Q3,Monday
2024-07-31 00:55:15,2024,7,2024Q3,Wednesday
2025-02-16 13:23:50,2025,2,2025Q1,Sunday
2022-09-18 09:35:28,2022,9,2022Q3,Sunday
2024-01-25 03:45:48,2024,1,2024Q1,Thursday
2023-12-31 06:58:42,2023,12,2023Q4,Sunday
2022-11-20 15:50:35,2022,11,2022Q4,Sunday
2023-08-26 02:56:35,2023,8,2023Q3,Saturday
2024-07-13 21:09:06,2024,7,2024Q3,Saturday
2022-06-22 08:02:53,2022,6,2022Q2,Wednesday
2022-12-24 03:06:29,2022,12,2022Q4,Saturday
2024-01-28 16:13:58,2024,1,2024Q1,Sunday
2023-10-18 09:50:59,2023,10,2023Q4,Wednesday
2024-04-19 11:40:59,2024,4,2024Q2,Friday
2023-08-24 15:52:38,2023,8,2023Q3,Thursday
2024-09-10 23:39:25,2024,9,2024Q3,Tuesday
2023-11-12 20:25:50,2023,11,2023Q4,Sunday
2024-12-14 16:09:41,2024,12,2024Q4,Saturday
2025-04-30 12:46:08,2025,4,2025Q2,Wednesday
2023-11-22 10:39:12,2023,11,2023Q4,Wednesday
2023-06-17 11:37:42,2023,6,2023Q2,Saturday
2025-02-04 10:28:51,2025,2,2025Q1,Tuesday
2023-03-18 15:44:06,2023,3,2023Q1,Saturday
2022-03-21 23:20:03,2022,3,2022Q1,Monday
2024-01-15 23:43:51,2024,1,2024Q1,Monday
2024-07-31 18:29:42,2024,7,2024Q3,Wednesday
2024-08-14 11:26:19,2024,8,2024Q3,Wednesday
2023-12-13 02:51:07,2023,12,2023Q4,Wednesday
2023-09-03 13:17:09,2023,9,2023Q3,Sunday
2024-05-27 10:57:25,2024,5,2024Q2,Monday
2025-06-06 06:05:55,2025,6,2025Q2,Friday
2025-05-11 07:37:59,2025,5,2025Q2,Sunday
2023-12-11 05:52:58,2023,12,2023Q4,Monday
2023-11-27 13:13:27,2023,11,2023Q4,Monday
2022-07-25 05:44:47,2022,7,2022Q3,Monday
2023-05-24 16:57:17,2023,5,2023Q2,Wednesday
2024-06-20 02:00:28,2024,6,2024Q2,Thursday
2024-02-07 16:06:36,2024,2,2024Q1,Wednesday
2024-12-08 05:10:56,2024,12,2024Q4,Sunday
2022-06-10 10:56:29,2022,6,2022Q2,Friday
2025-03-08 09:56:07,2025,3,2025Q1,Saturday
2024-07-14 13:51:18,2024,7,2024Q3,Sunday
2023-05-20 03:23:38,2023,5,2023Q2,Saturday
2023-11-17 17:41:24,2023,11,2023Q4,Friday
2025-07-29 21:22:46,2025,7,2025Q3,Tuesday
2023-10-30 09:43:04,2023,10,2023Q4,Monday
2022-12-27 19:06:44,2022,12,2022Q4,Tuesday
2023-11-03 05:53:00,2023,11,2023Q4,Friday
2025-05-10 04:01:53,2025,5,2025Q2,Saturday
2024-11-01 02:19:34,2024,11,2024Q4,Friday
2022-09-02 19:28:50,2022,9,2022Q3,Friday
2022-09-09 03:23:02,2022,9,2022Q3,Friday
2023-01-10 15:29:36,2023,1,2023Q1,Tuesday
2023-04-29 10:59:05,2023,4,2023Q2,Saturday
2024-09-29 07:20:36,2024,9,2024Q3,Sunday
2025-01-14 22:53:19,2025,1,2025Q1,Tuesday
2023-08-06 10:40:54,2023,8,2023Q3,Sunday
2023-11-23 05:32:23,2023,11,2023Q4,Thursday
2022-04-10 05:12:25,2022,4,2022Q2,Sunday
2024-06-16 21:42:23,2024,6,2024Q2,Sunday
2025-06-13 15:38:29,2025,6,2025Q2,Friday
2024-05-11 21:21:16,2024,5,2024Q2,Saturday
2025-03-25 17:56:20,2025,3,2025Q1,Tuesday
2022-07-09 22:43:23,2022,7,2022Q3,Saturday
2024-02-06 03:20:01,2024,2,2024Q1,Tuesday
2025-05-19 05:18:43,2025,5,2025Q2,Monday
2023-05-17 02:46:31,2023,5,2023Q2,Wednesday
2023-01-13 14:21:07,2023,1,2023Q1,Friday
2024-09-14 09:19:11,2024,9,2024Q3,Saturday
2024-04-03 09:08:35,2024,4,2024Q2,Wednesday
2023-06-21 13:43:56,2023,6,2023Q2,Wednesday
2024-05-10 10:10:26,2024,5,2024Q2,Friday
2023-04-16 12:46:33,2023,4,2023Q2,Sunday
2024-10-13 08:18:32,2024,10,2024Q4,Sunday
2023-12-15 19:29:40,2023,12,2023Q4,Friday
2024-11-30 20:30:54,2024,11,2024Q4,Saturday
2024-01-29 17:13:23,2024,1,2024Q1,Monday
2024-10-19 23:11:58,2024,10,2024Q4,Saturday
2023-09-21 21:46:30,2023,9,2023Q3,Thursday
2023-04-26 16:04:23,2023,4,2023Q2,Wednesday
2022-08-28 19:58:10,2022,8,2022Q3,Sunday
2025-02-16 18:19:51,2025,2,2025Q1,Sunday
2022-12-27 15:05:18,2022,12,2022Q4,Tuesday
2022-03-09 17:09:21,2022,3,2022Q1,Wednesday
2023-02-25 10:38:03,2023,2,2023Q1,Saturday
2022-05-06 23:37:20,2022,5,2022Q2,Friday
2023-12-30 23:46:55,2023,12,2023Q4,Saturday
2024-11-21 01:30:40,2024,11,2024Q4,Thursday
2024-02-21 03:26:04,2024,2,2024Q1,Wednesday
2023-04-20 11:41:26,2023,4,2023Q2,Thursday
2022-12-12 18:39:54,2022,12,2022Q4,Monday
2025-04-29 09:55:39,2025,4,2025Q2,Tuesday
2025-02-21 12:22:33,2025,2,2025Q1,Friday
2023-04-01 22:22:40,2023,4,2023Q2,Saturday
2022-10-13 00:13:37,2022,10,2022Q4,Thursday
2022-07-24 19:13:13,2022,7,2022Q3,Sunday
2023-04-25 01:07:32,2023,4,2023Q2,Tuesday
2022-09-02 01:17:53,2022,9,2022Q3,Friday
2023-11-14 21:03:04,2023,11,2023Q4,Tuesday
2022-06-30 11:50:22,2022,6,2022Q2,Thursday
2025-08-01 20:58:23,2025,8,2025Q3,Friday
2025-03-25 21:29:09,2025,3,2025Q1,Tuesday
2023-01-15 16:57:42,2023,1,2023Q1,Sunday
2025-05-10 11:18:26,2025,5,2025Q2,Saturday
2024-10-07 07:17:45,2024,10,2024Q4,Monday
2025-04-15 04:05:26,2025,4,2025Q2,Tuesday
2023-05-19 21:38:59,2023,5,2023Q2,Friday
2022-09-11 23:47:57,2022,9,2022Q3,Sunday
2025-01-18 23:19:01,2025,1,2025Q1,Saturday
2023-02-24 08:44:18,2023,2,2023Q1,Friday
2023-10-01 06:50:46,2023,10,2023Q4,Sunday
2022-10-10 21:32:06,2022,10,2022Q4,Monday
2023-03-17 06:57:32,2023,3,2023Q1,Friday
2022-04-20 11:25:08,2022,4,2022Q2,Wednesday
2023-05-18 18:50:17,2023,5,2023Q2,Thursday
2023-03-03 11:59:35,2023,3,2023Q1,Friday
2023-07-21 16:20:04,2023,7,2023Q3,Friday
2024-10-15 00:38:07,2024,10,2024Q4,Tuesday
2025-01-16 09:52:42,2025,1,2025Q1,Thursday
2022-04-15 13:14:29,2022,4,2022Q2,Friday
2024-07-11 21:54:40,2024,7,2024Q3,Thursday
2023-06-06 11:17:20,2023,6,2023Q2,Tuesday
2024-06-12 02:13:55,2024,6,2024Q2,Wednesday
2022-03-10 00:31:11,2022,3,2022Q1,Thursday
2023-01-28 06:09:26,2023,1,2023Q1,Saturday
2025-08-01 02:51:33,2025,8,2025Q3,Friday
2023-05-29 02:46:26,2023,5,2023Q2,Monday
2022-12-04 07:39:25,2022,12,2022Q4,Sunday
2024-06-10 21:50:41,2024,6,2024Q2,Monday
2024-11-03 05:28:49,2024,11,2024Q4,Sunday
2023-07-28 22:17:13,2023,7,2023Q3,Friday
2024-12-14 09:59:14,2024,12,2024Q4,Saturday
2023-06-25 05:11:30,2023,6,2023Q2,Sunday
2022-09-18 11:07:51,2022,9,2022Q3,Sunday
2024-01-20 11:53:03,2024,1,2024Q1,Saturday
2022-07-16 08:46:21,2022,7,2022Q3,Saturday
2023-07-05 05:24:34,2023,7,2023Q3,Wednesday
2025-03-20 07:54:48,2025,3,2025Q1,Thursday
2024-01-05 10:01:01,2024,1,2024Q1,Friday
2022-09-09 05:12:37,2022,9,2022Q3,Friday
2023-05-13 20:14:39,2023,5,2023Q2,Saturday
2024-07-13 10:34:17,2024,7,2024Q3,Saturday
2024-08-22 19:03:16,2024,8,2024Q3,Thursday
2024-01-26 08:01:24,2024,1,2024Q1,Friday
2025-03-09 23:11:35,2025,3,2025Q1,Sunday
2022-01-13 12:53:34,2022,1,2022Q1,Thursday
2023-09-26 00:29:30,2023,9,2023Q3,Tuesday
2025-02-23 19:42:34,2025,2,2025Q1,Sunday
2024-06-22 05:14:53,2024,6,2024Q2,Saturday
2022-06-01 01:47:37,2022,6,2022Q2,Wednesday
2022-08-08 13:07:49,2022,8,2022Q3,Monday
2022-12-13 10:47:39,2022,12,2022Q4,Tuesday
2023-11-07 04:09:32,2023,11,2023Q4,Tuesday
2023-08-08 20:20:30,2023,8,2023Q3,Tuesday
2024-11-04 18:58:04,2024,11,2024Q4,Monday
2023-06-11 04:16:36,2023,6,2023Q2,Sunday
2025-01-28 03:26:21,2025,1,2025Q1,Tuesday
2023-02-06 16:44:40,2023,2,2023Q1,Monday
2023-10-07 19:31:01,2023,10,2023Q4,Saturday
2022-03-26 02:18:10,2022,3,2022Q1,Saturday
2022-08-03 20:06:01,2022,8,2022Q3,Wednesday
2025-04-30 04:33:45,2025,4,2025Q2,Wednesday
2025-05-28 10:15:15,2025,5,2025Q2,Wednesday
2022-12-05 19:47:48,2022,12,2022Q4,Monday
2022-01-13 11:26:32,2022,1,2022Q1,Thursday
2023-05-08 08:38:33,2023,5,2023Q2,Monday
2023-07-11 08:52:26,2023,7,2023Q3,Tuesday
2024-03-12 09:40:17,2024,3,2024Q1,Tuesday
2025-02-08 09:46:41,2025,2,2025Q1,Saturday
2024-06-30 14:04:29,2024,6,2024Q2,Sunday
2024-12-02 05:42:40,2024,12,2024Q4,Monday
2022-04-04 06:40:39,2022,4,2022Q2,Monday
2024-06-17 03:18:08,2024,6,2024Q2,Monday
2022-12-13 22:53:00,2022,12,2022Q4,Tuesday
2022-05-08 02:15:01,2022,5,2022Q2,Sunday
2022-04-28 03:08:35,2022,4,2022Q2,Thursday
2022-09-12 21:02:17,2022,9,2022Q3,Monday
2023-02-09 18:19:06,2023,2,2023Q1,Thursday
2022-02-15 23:49:08,2022,2,2022Q1,Tuesday
2023-05-16 07:00:01,2023,5,2023Q2,Tuesday
2022-09-12 11:19:16,2022,9,2022Q3,Monday
2023-05-12 01:57:58,2023,5,2023Q2,Friday
2022-05-02 00:41:08,2022,5,2022Q2,Monday
2024-06-16 23:18:16,2024,6,2024Q2,Sunday
2023-04-15 20:10:57,2023,4,2023Q2,Saturday
2023-12-12 07:33:23,2023,12,2023Q4,Tuesday
2025-05-10 03:30:55,2025,5,2025Q2,Saturday
2024-08-05 06:40:29,2024,8,2024Q3,Monday
2024-10-21 11:46:45,2024,10,2024Q4,Monday
2023-08-15 02:09:20,2023,8,2023Q3,Tuesday
2023-09-09 14:37:35,2023,9,2023Q3,Saturday
2023-12-02 21:32:23,2023,12,2023Q4,Saturday
2024-10-18 02:18:32,2024,10,2024Q4,Friday
2025-01-07 18:25:16,2025,1,2025Q1,Tuesday
2025-02-24 14:33:28,2025,2,2025Q1,Monday
2022-04-04 20:41:40,2022,4,2022Q2,Monday
2022-05-07 12:13:41,2022,5,2022Q2,Saturday
