product_id,category,price
201,Sports,93.11
366,Home,101.09
115,Electronics,253.61
159,Clothing,11.73
42,Electronics,743.98
247,Toys,19.18
68,Grocery,7.6
445,Books,31.17
445,Beauty,64.26
326,Home,382.34
334,Toys,6.58
196,Home,179.22
90,Clothing,16.52
111,Sports,186.66
368,Books,6.74
359,Home,226.95
145,Books,20.04
275,Home,192.75
179,Home,98.14
241,Electronics,714.33
326,Sports,108.22
319,Books,7.07
477,Toys,32.12
331,Clothing,44.87
464,Electronics,387.57
414,Toys,31.71
153,Home,275.88
104,Home,79.77
75,Grocery,16.88
128,Sports,24.34
199,Home,212.26
154,Electronics,58.89
56,Electronics,560.13
278,Sports,89.26
345,Books,24.88
19,Sports,106.76
159,Home,123.73
26,Electronics,355.91
426,Grocery,5.74
169,Grocery,23.45
484,Beauty,14.69
23,Electronics,369.88
47,Beauty,65.23
13,Grocery,32.46
217,Sports,45.63
322,Sports,92.81
194,Electronics,292.93
144,Electronics,275.29
73,Electronics,205.49
156,Grocery,31.64
77,Beauty,55.73
419,Books,20.75
169,Electronics,63.16
461,Grocery,26.97
287,Books,5.9
85,Clothing,109.26
416,Books,5.07
182,Clothing,36.52
482,Clothing,28.22
456,Clothing,48.35
315,Grocery,33.67
297,Grocery,29.0
112,Clothing,106.65
450,Sports,277.02
230,Sports,51.26
96,Books,10.39
438,Clothing,50.95
168,Beauty,53.27
378,Toys,63.38
156,Electronics,301.88
421,Home,100.34
105,Sports,125.45
193,Clothing,67.57
489,Grocery,48.25
330,Electronics,245.12
439,Grocery,30.61
132,Clothing,74.11
355,Electronics,194.19
382,Clothing,38.65
138,Sports,57.87
431,Sports,129.93
331,Clothing,84.28
270,Clothing,50.62
38,Toys,83.46
396,Home,283.93
45,Books,16.79
401,Electronics,609.41
464,Toys,89.88
163,Sports,177.94
450,Grocery,26.44
331,Sports,39.41
253,Clothing,116.13
169,Electronics,190.26
451,Toys,29.18
285,Beauty,48.51
274,Grocery,29.06
20,Sports,86.59
239,Beauty,28.09
270,Home,92.2
418,Home,270.33
433,Clothing,23.26
310,Electronics,372.79
31,Toys,64.95
314,Clothing,34.67
104,Clothing,37.63
170,Electronics,399.84
186,Clothing,91.68
128,Electronics,543.77
210,Sports,40.99
414,Home,135.38
281,Beauty,82.41
447,Toys,22.97
253,Grocery,17.69
19,Electronics,124.52
200,Home,163.66
220,Clothing,48.56
136,Beauty,65.06
223,Grocery,12.31
3,Sports,92.41
451,Toys,48.16
236,Home,209.29
342,Sports,21.68
465,Electronics,406.74
228,Toys,17.71
401,Beauty,46.01
142,Home,149.43
499,Clothing,48.47
9,Books,28.78
190,Electronics,302.55
350,Electronics,210.35
405,Home,187.93
460,Clothing,33.68
165,Sports,89.64
480,Toys,12.62
139,Sports,31.62
276,Clothing,13.32
291,Sports,144.67
53,Books,35.74
175,Home,201.27
110,Home,133.01
203,Grocery,44.02
436,Electronics,389.43
136,Home,59.45
4,Electronics,340.77
155,Electronics,531.67
172,Electronics,338.49
424,Home,125.07
358,Sports,118.23
47,Clothing,102.43
94,Books,16.59
428,Home,179.1
48,Grocery,26.3
240,Grocery,51.5
347,Sports,279.84
213,Grocery,45.17
436,Sports,160.27
340,Grocery,37.7
324,Clothing,110.26
139,Home,107.91
205,Sports,160.09
381,Home,320.26
73,Books,31.36
4,Books,8.69
76,Clothing,81.07
329,Books,33.92
77,Clothing,22.92
304,Home,101.03
256,Beauty,98.22
410,Clothing,42.75
102,Toys,14.62
106,Toys,43.62
333,Clothing,87.52
39,Books,27.15
476,Toys,33.44
314,Clothing,153.28
275,Clothing,39.79
88,Books,39.74
211,Books,16.35
369,Clothing,48.54
77,Electronics,185.42
77,Books,20.81
442,Toys,25.85
28,Electronics,322.93
245,Toys,30.06
66,Home,139.91
266,Sports,286.78
382,Clothing,43.5
470,Home,59.98
205,Clothing,14.0
58,Grocery,37.8
201,Sports,75.44
225,Sports,43.59
142,Sports,71.43
381,Home,60.24
368,Grocery,9.61
84,Electronics,88.31
143,Books,32.24
352,Clothing,40.17
33,Clothing,23.34
401,Beauty,38.18
152,Sports,128.46
158,Books,26.55
446,Toys,12.0
141,Home,123.84
446,Grocery,10.75
251,Clothing,34.99
303,Books,14.74
112,Toys,18.47
144,Home,23.63
450,Electronics,713.73
209,Home,378.42
224,Clothing,90.25
43,Electronics,447.81
264,Electronics,419.11
244,Home,96.04
3,Toys,50.0
125,Books,19.81
268,Clothing,92.05
84,Home,67.52
16,Home,124.97
334,Beauty,19.82
464,Books,17.38
59,Beauty,45.09
177,Books,23.54
63,Beauty,66.06
446,Toys,36.83
491,Home,120.01
49,Books,7.29
307,Grocery,24.85
246,Toys,31.03
289,Books,9.95
286,Electronics,484.95
443,Grocery,20.94
332,Clothing,107.77
15,Clothing,125.17
338,Electronics,171.74
255,Grocery,18.85
92,Books,13.36
279,Grocery,36.52
206,Books,12.5
94,Beauty,50.54
225,Grocery,4.46
301,Grocery,48.2
318,Beauty,36.77
463,Clothing,42.69
199,Toys,6.29
271,Grocery,14.89
500,Books,19.85
234,Books,21.22
46,Grocery,35.01
64,Grocery,2.85
230,Sports,224.19
430,Sports,83.57
440,Clothing,74.5
249,Toys,65.53
246,Beauty,74.58
428,Books,27.24
75,Beauty,37.49
157,Electronics,535.85
223,Electronics,166.61
190,Sports,74.47
473,Beauty,14.42
52,Home,47.32
438,Clothing,67.54
88,Home,21.36
313,Electronics,245.7
339,Home,17.02
66,Home,130.35
150,Home,32.35
20,Home,80.81
33,Clothing,19.09
328,Books,16.56
281,Home,104.98
46,Clothing,56.55
73,Clothing,10.62
354,Clothing,21.58
313,Electronics,635.56
343,Electronics,450.06
133,Toys,22.78
55,Toys,15.95
61,Beauty,27.97
345,Sports,35.53
8,Electronics,75.72
272,Grocery,13.34
246,Electronics,459.22
176,Sports,80.66
493,Electronics,389.66
116,Books,32.19
317,Beauty,100.22
271,Electronics,161.22
193,Toys,30.85
150,Electronics,121.89
131,Sports,155.1
102,Toys,23.53
310,Clothing,17.2
270,Home,226.37
292,Electronics,309.74
210,Sports,76.95
495,Clothing,79.56
361,Toys,12.37
338,Grocery,50.02
67,Clothing,36.02
10,Grocery,43.4
49,Toys,68.81
487,Clothing,74.96
111,Home,135.94
321,Sports,50.47
219,Home,45.26
57,Electronics,208.48
283,Clothing,91.27
459,Books,6.37
113,Toys,59.31
133,Beauty,34.29
71,Clothing,22.44
83,Books,14.57
57,Grocery,9.87
376,Electronics,268.56
349,Electronics,102.72
271,Books,19.51
483,Books,27.45
111,Toys,50.21
357,Grocery,4.83
375,Toys,9.3
76,Clothing,32.66
158,Sports,82.77
20,Toys,45.32
421,Grocery,5.98
131,Clothing,80.45
329,Toys,44.25
122,Sports,221.44
41,Home,62.46
167,Home,41.12
410,Books,27.08
130,Home,277.5
23,Toys,62.98
279,Books,42.53
251,Clothing,37.29
469,Grocery,26.82
400,Sports,67.75
9,Beauty,55.78
13,Home,321.43
412,Grocery,28.51
411,Clothing,75.98
307,Clothing,47.82
320,Clothing,104.97
52,Clothing,8.37
209,Home,178.31
38,Grocery,29.32
100,Books,26.13
193,Clothing,21.67
402,Home,127.28
191,Toys,32.87
51,Electronics,70.14
393,Books,23.06
141,Books,10.86
168,Books,15.39
311,Home,282.93
109,Home,174.7
207,Electronics,410.21
427,Home,234.34
300,Home,166.75
110,Grocery,16.04
196,Grocery,33.14
417,Grocery,13.27
152,Books,27.99
420,Electronics,332.64
243,Toys,80.67
128,Electronics,426.91
105,Clothing,76.74
10,Toys,70.76
356,Sports,108.81
148,Toys,39.68
489,Electronics,333.23
365,Electronics,146.53
364,Electronics,679.66
459,Electronics,634.24
140,Clothing,21.0
190,Sports,83.04
402,Books,17.62
94,Home,53.92
492,Sports,44.1
496,Clothing,67.34
229,Grocery,3.22
63,Home,186.3
340,Books,7.81
25,Grocery,9.47
268,Books,23.4
405,Electronics,163.69
281,Toys,80.39
11,Electronics,399.67
320,Electronics,599.22
201,Electronics,275.8
126,Grocery,15.23
306,Grocery,12.35
190,Clothing,113.43
89,Beauty,56.28
355,Grocery,7.24
116,Beauty,36.05
352,Home,81.65
177,Beauty,21.9
14,Books,16.47
257,Beauty,64.88
209,Sports,170.12
281,Home,274.65
443,Clothing,25.49
328,Clothing,111.63
325,Electronics,111.93
389,Beauty,30.83
105,Electronics,429.02
483,Books,16.14
147,Home,77.18
279,Sports,160.17
9,Grocery,34.7
118,Books,8.74
94,Grocery,17.62
434,Beauty,16.17
144,Clothing,82.18
289,Grocery,6.32
386,Books,13.12
14,Books,19.66
494,Sports,57.35
257,Toys,66.41
346,Electronics,178.36
186,Sports,169.8
345,Electronics,196.5
400,Clothing,30.16
207,Beauty,18.04
346,Home,158.58
431,Electronics,239.75
172,Books,37.13
464,Books,13.67
270,Sports,109.55
221,Beauty,30.17
152,Grocery,1.78
111,Electronics,388.46
183,Sports,123.47
399,Electronics,483.0
339,Home,239.94
72,Toys,30.48
418,Sports,93.48
386,Electronics,247.21
283,Clothing,16.42
74,Beauty,46.39
355,Beauty,54.79
215,Toys,80.03
497,Clothing,126.18
328,Beauty,70.86
476,Clothing,30.36
23,Clothing,45.42
68,Toys,18.9
398,Sports,84.06
447,Electronics,462.47
373,Electronics,145.05
362,Beauty,31.54
93,Clothing,58.85
321,Home,46.96
324,Home,82.56
384,Clothing,46.26
63,Electronics,162.31
224,Books,32.53
225,Sports,33.38
369,Sports,225.91
346,Beauty,16.01
337,Sports,175.1
103,Grocery,15.52
215,Toys,76.68
192,Clothing,96.11
160,Toys,10.49
372,Home,23.49
207,Beauty,30.11
269,Beauty,76.6
194,Books,12.19
380,Toys,54.42
403,Clothing,32.9
152,Electronics,322.07
237,Home,135.61
88,Electronics,264.77
11,Clothing,77.29
187,Home,21.09
214,Home,190.76
15,Grocery,24.41
266,Clothing,95.34
297,Clothing,79.19
411,Electronics,565.16
444,Beauty,69.5
73,Clothing,59.91
52,Toys,50.87
128,Clothing,53.5
28,Toys,12.64
65,Books,10.29
17,Electronics,423.97
351,Home,73.24
428,Home,138.39
138,Books,16.58
319,Home,91.6
229,Beauty,18.88
254,Books,12.62
477,Beauty,87.98
210,Home,87.99
431,Electronics,235.54
294,Sports,193.41
231,Books,12.72
241,Grocery,26.05
70,Grocery,32.99
104,Books,5.13
204,Toys,37.64
53,Sports,123.17
462,Home,264.47
428,Toys,21.28
375,Home,34.4
330,Clothing,19.47
54,Sports,96.71
276,Home,112.18
335,Clothing,10.89
31,Clothing,38.63
135,Books,37.83
58,Sports,53.84
105,Beauty,83.17
266,Home,181.75
10,Home,192.33
496,Electronics,274.14
253,Home,244.16
295,Books,25.39
156,Home,186.69
158,Home,53.28
37,Electronics,261.78
119,Home,41.17
67,Electronics,173.65
242,Toys,53.27
299,Beauty,63.19
463,Books,20.63
213,Toys,31.48
308,Clothing,83.8
101,Beauty,27.96
56,Sports,133.0
332,Electronics,549.87
324,Toys,60.84
239,Grocery,14.36
393,Clothing,94.36
231,Toys,37.77
362,Books,18.94
381,Beauty,5.12
92,Sports,62.13
279,Clothing,38.14
447,Clothing,49.92
109,Toys,11.61
317,Sports,158.57
168,Grocery,4.95
300,Clothing,135.16
470,Home,158.98
408,Clothing,11.32
435,Electronics,237.81
442,Home,239.04
218,Home,49.8
222,Clothing,124.61
161,Clothing,42.72
16,Home,285.81
278,Grocery,9.77
497,Sports,84.65
57,Electronics,420.38
62,Books,19.77
498,Toys,14.33
363,Grocery,20.54
466,Home,218.23
327,Home,217.0
242,Grocery,17.33
90,Clothing,59.01
72,Grocery,22.28
326,Books,22.92
30,Grocery,37.47
359,Clothing,83.55
407,Clothing,39.61
288,Home,166.94
86,Grocery,4.54
234,Home,215.85
235,Beauty,86.19
313,Home,238.48
365,Home,41.86
265,Clothing,87.47
287,Beauty,65.04
327,Books,16.88
393,Electronics,207.45
269,Books,15.8
186,Toys,33.37
131,Toys,20.31
291,Toys,42.7
481,Clothing,74.12
277,Home,137.13
320,Books,7.72
351,Clothing,69.63
180,Beauty,76.99
290,Electronics,247.04
480,Sports,318.7
377,Home,100.79
163,Beauty,19.81
271,Electronics,512.4
376,Grocery,5.01
96,Clothing,30.55
262,Toys,7.65
365,Toys,46.91
469,Sports,126.24
353,Clothing,65.18
288,Sports,38.81
436,Home,145.48
83,Home,76.58
225,Sports,245.63
412,Sports,72.15
223,Toys,74.4
469,Grocery,61.58
118,Clothing,107.91
482,Grocery,36.27
192,Electronics,186.28
79,Toys,34.39
78,Beauty,74.68
147,Beauty,21.62
107,Clothing,37.64
382,Beauty,12.62
271,Clothing,113.15
390,Home,81.49
244,Electronics,360.74
73,Toys,42.06
357,Electronics,622.85
468,Clothing,24.95
354,Electronics,164.5
422,Home,77.1
26,Books,11.28
210,Grocery,14.09
92,Electronics,224.25
125,Toys,10.5
435,Sports,74.71
73,Beauty,41.24
480,Toys,43.26
123,Clothing,114.96
309,Beauty,41.19
184,Home,212.64
187,Electronics,388.03
198,Toys,28.59
78,Beauty,93.53
348,Clothing,83.49
186,Beauty,45.41
344,Sports,143.24
253,Books,9.96
13,Toys,13.85
299,Home,208.48
76,Toys,17.48
51,Home,177.2
275,Electronics,286.01
149,Home,118.35
219,Beauty,43.72
122,Toys,11.45
211,Grocery,45.68
280,Sports,178.82
26,Clothing,40.33
173,Clothing,29.4
156,Electronics,220.45
238,Sports,289.2
376,Sports,49.06
82,Grocery,57.78
492,Beauty,30.56
356,Books,15.89
490,Toys,34.11
413,Books,8.85
273,Sports,242.67
68,Toys,28.18
44,Beauty,43.32
493,Sports,81.55
61,Home,268.37
123,Electronics,208.18
349,Electronics,222.04
196,Beauty,9.9
330,Toys,49.33
409,Electronics,463.51
479,Clothing,61.51
323,Clothing,90.96
111,Beauty,17.9
258,Clothing,43.19
89,Electronics,310.82
433,Clothing,26.56
198,Clothing,81.32
282,Books,18.24
200,Clothing,53.54
99,Sports,140.24
27,Beauty,17.22
89,Grocery,13.28
146,Clothing,57.43
182,Clothing,16.43
257,Electronics,174.05
189,Clothing,45.59
240,Sports,247.71
359,Electronics,299.83
387,Clothing,77.15
196,Books,12.64
297,Toys,16.82
165,Electronics,486.57
307,Electronics,427.13
271,Electronics,95.74
8,Grocery,44.53
38,Books,20.24
114,Books,9.97
339,Grocery,20.38
56,Beauty,15.78
431,Clothing,81.13
474,Home,100.55
359,Sports,126.35
138,Books,28.07
102,Home,65.19
334,Beauty,84.33
177,Grocery,24.53
169,Electronics,134.77
339,Books,19.28
286,Clothing,78.48
261,Beauty,29.14
375,Clothing,12.48
223,Toys,37.1
199,Beauty,87.69
211,Home,45.52
287,Books,25.69
180,Toys,29.3
250,Sports,147.92
231,Clothing,30.38
472,Books,16.39
482,Clothing,45.24
23,Clothing,32.48
48,Electronics,452.23
109,Home,164.15
296,Books,35.1
6,Clothing,94.29
38,Home,197.45
169,Books,10.4
356,Toys,11.15
283,Sports,115.18
203,Clothing,37.69
325,Sports,48.65
313,Clothing,81.23
273,Grocery,8.47
244,Beauty,17.07
327,Sports,53.12
475,Electronics,733.73
47,Clothing,41.02
249,Electronics,357.76
79,Home,54.18
110,Clothing,49.77
13,Sports,120.64
395,Electronics,99.81
380,Sports,43.3
365,Electronics,137.09
90,Clothing,66.42
342,Books,32.98
348,Sports,87.95
280,Beauty,18.25
221,Electronics,291.35
73,Toys,42.75
234,Home,142.01
260,Clothing,50.71
113,Toys,30.0
46,Home,152.79
274,Electronics,708.12
43,Grocery,25.82
208,Sports,177.41
417,Electronics,96.19
349,Beauty,96.49
103,Electronics,93.19
124,Books,20.33
10,Toys,10.14
329,Clothing,105.91
187,Electronics,142.19
31,Electronics,250.11
156,Beauty,31.65
60,Sports,105.39
249,Electronics,667.48
387,Clothing,30.81
374,Clothing,36.87
439,Clothing,19.39
270,Home,146.53
442,Beauty,24.85
217,Sports,128.2
399,Grocery,3.56
2,Grocery,7.15
24,Toys,49.72
206,Sports,33.44
320,Grocery,15.03
496,Electronics,504.49
199,Electronics,192.3
356,Electronics,201.06
114,Beauty,25.56
280,Sports,105.9
155,Home,70.1
165,Beauty,18.76
486,Beauty,14.24
222,Electronics,354.03
91,Clothing,62.57
167,Electronics,203.17
447,Electronics,448.59
207,Books,24.55
282,Books,10.56
65,Books,18.45
376,Sports,90.75
4,Books,23.65
157,Sports,25.23
249,Toys,37.01
257,Toys,35.38
235,Beauty,8.05
306,Home,34.39
366,Sports,27.05
470,Clothing,17.03
395,Beauty,44.49
74,Home,218.13
187,Clothing,29.97
62,Grocery,45.88
337,Clothing,20.7
164,Clothing,66.14
56,Clothing,55.19
111,Books,25.68
218,Toys,12.98
240,Toys,20.77
21,Books,20.13
141,Home,84.48
265,Clothing,19.8
139,Clothing,24.88
459,Sports,26.27
70,Toys,28.91
385,Clothing,50.63
118,Electronics,127.4
198,Electronics,123.23
205,Toys,14.68
214,Electronics,492.91
56,Electronics,89.5
287,Home,82.23
470,Sports,73.48
293,Sports,223.95
175,Home,17.84
347,Sports,67.04
370,Beauty,20.55
500,Grocery,15.54
462,Clothing,93.41
128,Toys,51.02
431,Beauty,68.36
378,Clothing,15.25
325,Sports,111.85
442,Clothing,64.72
292,Home,103.62
288,Home,36.71
226,Clothing,43.31
64,Home,134.56
455,Beauty,24.91
426,Sports,258.71
48,Sports,60.42
202,Clothing,20.32
498,Toys,47.38
337,Grocery,10.3
414,Electronics,767.4
405,Beauty,75.44
60,Sports,76.56
397,Toys,33.12
257,Electronics,363.94
65,Home,66.81
239,Beauty,61.17
289,Grocery,3.31
38,Clothing,21.94
25,Grocery,13.87
410,Home,89.03
461,Clothing,40.68
59,Home,75.22
476,Toys,15.06
417,Clothing,73.14
357,Clothing,34.11
383,Books,22.84
297,Grocery,4.42
158,Clothing,58.61
57,Electronics,64.03
433,Books,15.79
48,Toys,23.59
328,Electronics,244.35
433,Grocery,17.21
431,Electronics,99.92
56,Toys,46.75
65,Home,52.1
268,Beauty,29.82
69,Clothing,17.92
216,Sports,158.26
390,Grocery,14.83
89,Home,76.44
449,Beauty,25.85
281,Clothing,101.97
257,Grocery,16.03
160,Grocery,40.51
490,Sports,107.47
234,Beauty,15.05
131,Grocery,26.99
49,Clothing,129.02
147,Beauty,12.12
316,Beauty,18.68
491,Beauty,9.92
413,Books,11.83
434,Sports,140.25
2,Electronics,184.94
329,Home,207.68
440,Home,320.94
145,Beauty,21.98
444,Clothing,81.05
366,Electronics,291.87
420,Toys,24.26
61,Books,15.98
273,Grocery,15.75
49,Grocery,15.54
332,Sports,27.46
444,Electronics,363.43
404,Books,15.28
434,Home,312.88
131,Sports,24.65
43,Beauty,17.03
57,Books,12.32
50,Home,219.57
452,Electronics,263.11
465,Beauty,9.99
178,Clothing,83.34
293,Grocery,19.78
46,Beauty,49.21
170,Beauty,9.79
271,Grocery,18.46
417,Toys,17.29
336,Clothing,50.94
139,Clothing,33.59
247,Beauty,43.56
148,Books,30.11
230,Books,19.67
280,Grocery,15.51
125,Electronics,215.83
192,Clothing,13.47
374,Electronics,549.01
80,Sports,59.36
94,Electronics,267.28
226,Electronics,680.95
65,Beauty,97.89
88,Home,248.48
88,Sports,85.85
201,Beauty,60.24
214,Home,72.27
204,Home,40.41
401,Books,38.82
382,Home,59.43
89,Home,45.79
476,Home,90.16
61,Clothing,103.1
271,Books,16.74
94,Electronics,89.23
307,Grocery,53.15
27,Clothing,98.01
214,Grocery,35.27
74,Books,35.39
61,Toys,24.98
186,Toys,61.1
31,Clothing,71.85
219,Toys,45.3
12,Clothing,24.55
302,Home,139.05
415,Sports,133.5
32,Clothing,19.99
160,Books,18.81
489,Home,157.56
237,Beauty,52.45
227,Grocery,14.56
181,Sports,230.95
317,Toys,67.93
46,Sports,73.36
341,Grocery,23.44
458,Clothing,11.22
80,Toys,74.94
135,Home,214.61
260,Electronics,132.7
475,Electronics,169.71
308,Clothing,111.77
247,Beauty,81.04
473,Books,22.59
159,Books,30.71
203,Beauty,21.67
112,Electronics,392.3
468,Clothing,77.03
292,Home,131.17
438,Toys,49.05
310,Electronics,231.13
119,Beauty,34.13
383,Grocery,15.83
