order_id,user_id,product_id,order_date,qty,price,total_price
100000,861,201,2024-10-30 16:07:37,2,93.11,186.22
100001,1295,366,2022-04-17 09:31:40,1,101.09,101.09
100002,1131,115,2022-11-08 12:38:20,1,253.61,253.61
100003,1096,159,2022-05-18 17:24:55,2,11.73,23.46
100004,1639,42,2024-01-25 05:51:54,2,743.98,1487.96
100005,2170,247,2024-11-18 23:48:19,1,19.18,19.18
100006,467,68,2024-11-30 01:59:35,1,7.6,7.6
100007,1239,445,2023-12-10 20:36:37,1,31.17,31.17
100008,331,445,2024-11-18 20:30:48,2,64.26,128.52
100009,1483,326,2023-09-20 08:09:17,1,382.34,382.34
100010,2136,334,2022-02-19 22:03:45,4,6.58,26.32
100011,2920,196,2023-05-12 08:32:22,1,179.22,179.22
100012,131,90,2024-11-09 12:27:13,1,16.52,16.52
100013,1686,111,2023-12-04 20:45:17,1,186.66,186.66
100014,770,368,2022-01-08 03:55:43,1,6.74,6.74
100015,2392,359,2023-12-06 04:26:44,1,226.95,226.95
100016,1516,145,2025-01-28 00:41:06,1,20.04,20.04
100017,2854,275,2024-02-23 02:18:48,2,192.75,385.5
100018,2434,179,2024-12-28 17:33:41,4,98.14,392.56
100019,1216,241,2023-03-10 03:54:21,1,714.33,714.33
100020,956,326,2022-04-25 21:38:26,2,108.22,216.44
100021,2325,319,2023-10-15 07:18:00,1,7.07,7.07
100022,1185,477,2023-12-06 17:57:08,1,32.12,32.12
100023,460,331,2023-01-20 12:05:45,1,44.87,44.87
100024,22,464,2023-06-16 10:49:49,2,387.57,775.14
100025,2301,414,2024-06-01 19:28:31,2,31.71,63.42
100026,748,153,2023-10-27 19:16:54,1,275.88,275.88
100027,2905,104,2022-10-12 05:51:05,1,79.77,79.77
100028,475,75,2023-05-16 02:12:53,1,16.88,16.88
100029,1083,128,2022-09-10 13:04:05,2,24.34,48.68
100030,2559,199,2022-10-01 06:32:26,1,212.26,212.26
100031,2048,154,2023-04-11 12:22:52,1,58.89,58.89
100032,2748,56,2023-08-05 00:00:43,1,560.13,560.13
100033,976,278,2025-01-20 05:49:43,1,89.26,89.26
100034,1807,345,2023-07-28 08:12:14,1,24.88,24.88
100035,190,19,2023-08-13 21:38:38,1,106.76,106.76
100036,2735,159,2022-06-03 11:40:18,1,123.73,123.73
100037,563,26,2022-09-24 00:32:25,1,355.91,355.91
100038,1900,426,2023-06-17 20:04:24,1,5.74,5.74
100039,1268,169,2022-07-16 18:40:52,2,23.45,46.9
100040,2880,484,2022-06-08 15:46:55,4,14.69,58.76
100041,1529,23,2025-02-06 01:21:16,5,369.88,1849.4
100042,647,47,2025-04-30 19:15:08,1,65.23,65.23
100043,2069,13,2023-07-16 22:36:11,1,32.46,32.46
100044,2889,217,2025-06-15 20:54:10,1,45.63,45.63
100045,2215,322,2023-01-18 06:53:14,5,92.81,464.05
100046,1298,194,2023-02-14 21:35:44,5,292.93,1464.65
100047,2436,144,2024-12-07 09:17:28,4,275.29,1101.16
100048,601,73,2024-09-21 18:51:09,1,205.49,205.49
100049,2364,156,2022-12-06 04:39:28,1,31.64,31.64
100050,2062,77,2025-01-06 00:38:47,1,55.73,55.73
100051,242,419,2025-03-02 17:17:07,1,20.75,20.75
100052,2042,169,2023-01-31 05:23:01,3,63.16,189.48
100053,2825,461,2023-06-09 22:41:03,1,26.97,26.97
100054,2613,287,2025-06-17 02:20:00,1,5.9,5.9
100055,2946,85,2022-12-13 04:47:29,2,109.26,218.52
100056,1364,416,2023-04-20 08:41:04,1,5.07,5.07
100057,2140,182,2024-04-15 17:50:20,2,36.52,73.04
100058,1391,482,2023-02-01 09:08:03,1,28.22,28.22
100059,1479,456,2024-07-02 17:56:11,1,48.35,48.35
100060,2557,315,2024-01-19 14:31:46,2,33.67,67.34
100061,776,297,2022-07-18 20:08:56,1,29.0,29.0
100062,35,112,2024-07-05 14:02:40,1,106.65,106.65
100063,2254,450,2022-08-26 19:50:05,1,277.02,277.02
100064,1956,230,2022-06-30 12:45:55,1,51.26,51.26
100065,1586,96,2024-10-21 04:43:14,1,10.39,10.39
100066,1022,438,2025-07-14 22:22:41,1,50.95,50.95
100067,2614,168,2024-07-31 00:55:15,1,53.27,53.27
100068,1130,378,2025-02-16 13:23:50,1,63.38,63.38
100069,1501,156,2022-09-18 09:35:28,1,301.88,301.88
100070,703,421,2024-01-25 03:45:48,3,100.34,301.02
100071,2450,105,2023-12-31 06:58:42,1,125.45,125.45
100072,2778,193,2022-11-20 15:50:35,2,67.57,135.14
100073,1580,489,2023-08-26 02:56:35,1,48.25,48.25
100074,162,330,2024-07-13 21:09:06,1,245.12,245.12
100075,202,439,2022-06-22 08:02:53,1,30.61,30.61
100076,1982,132,2022-12-24 03:06:29,2,74.11,148.22
100077,996,355,2024-01-28 16:13:58,2,194.19,388.38
100078,2318,382,2023-10-18 09:50:59,1,38.65,38.65
100079,816,138,2024-04-19 11:40:59,1,57.87,57.87
100080,456,431,2023-08-24 15:52:38,1,129.93,129.93
100081,1276,331,2024-09-10 23:39:25,1,84.28,84.28
100082,1017,270,2023-11-12 20:25:50,1,50.62,50.62
100083,2344,38,2024-12-14 16:09:41,1,83.46,83.46
100084,2768,396,2025-04-30 12:46:08,1,283.93,283.93
100085,338,45,2023-11-22 10:39:12,1,16.79,16.79
100086,879,401,2023-06-17 11:37:42,1,609.41,609.41
100087,1077,464,2025-02-04 10:28:51,1,89.88,89.88
100088,792,163,2023-03-18 15:44:06,1,177.94,177.94
100089,2265,450,2022-03-21 23:20:03,1,26.44,26.44
100090,764,331,2024-01-15 23:43:51,1,39.41,39.41
100091,2236,253,2024-07-31 18:29:42,1,116.13,116.13
100092,380,169,2024-08-14 11:26:19,2,190.26,380.52
100093,493,451,2023-12-13 02:51:07,1,29.18,29.18
100094,1181,285,2023-09-03 13:17:09,1,48.51,48.51
100095,2063,274,2024-05-27 10:57:25,1,29.06,29.06
100096,65,20,2025-06-06 06:05:55,1,86.59,86.59
100097,2569,239,2025-05-11 07:37:59,1,28.09,28.09
100098,1368,270,2023-12-11 05:52:58,1,92.2,92.2
100099,1153,418,2023-11-27 13:13:27,3,270.33,810.99
100100,2028,433,2022-07-25 05:44:47,1,23.26,23.26
100101,2696,310,2023-05-24 16:57:17,1,372.79,372.79
100102,1496,31,2024-06-20 02:00:28,2,64.95,129.9
100103,1163,314,2024-02-07 16:06:36,2,34.67,69.34
100104,1523,104,2024-12-08 05:10:56,3,37.63,112.89
100105,2641,170,2022-06-10 10:56:29,5,399.84,1999.2
100106,392,186,2025-03-08 09:56:07,1,91.68,91.68
100107,1699,128,2024-07-14 13:51:18,1,543.77,543.77
100108,419,210,2023-05-20 03:23:38,3,40.99,122.97
100109,2337,414,2023-11-17 17:41:24,3,135.38,406.14
100110,379,281,2025-07-29 21:22:46,1,82.41,82.41
100111,1797,447,2023-10-30 09:43:04,1,22.97,22.97
100112,2279,253,2022-12-27 19:06:44,1,17.69,17.69
100113,2089,19,2023-11-03 05:53:00,1,124.52,124.52
100114,2183,200,2025-05-10 04:01:53,3,163.66,490.98
100115,201,220,2024-11-01 02:19:34,2,48.56,97.12
100116,1864,136,2022-09-02 19:28:50,3,65.06,195.18
100117,780,223,2022-09-09 03:23:02,1,12.31,12.31
100118,2978,3,2023-01-10 15:29:36,3,92.41,277.23
100119,503,451,2023-04-29 10:59:05,1,48.16,48.16
100120,2455,236,2024-09-29 07:20:36,1,209.29,209.29
100121,1752,342,2025-01-14 22:53:19,1,21.68,21.68
100122,805,465,2023-08-06 10:40:54,1,406.74,406.74
100123,2147,228,2023-11-23 05:32:23,1,17.71,17.71
100124,2732,401,2022-04-10 05:12:25,1,46.01,46.01
100125,1896,142,2024-06-16 21:42:23,1,149.43,149.43
100126,2774,499,2025-06-13 15:38:29,3,48.47,145.41
100127,1571,9,2024-05-11 21:21:16,2,28.78,57.56
100128,961,190,2025-03-25 17:56:20,2,302.55,605.1
100129,2661,350,2022-07-09 22:43:23,2,210.35,420.7
100130,1486,405,2024-02-06 03:20:01,2,187.93,375.86
100131,2691,460,2025-05-19 05:18:43,3,33.68,101.04
100132,1029,165,2023-05-17 02:46:31,2,89.64,179.28
100133,503,480,2023-01-13 14:21:07,1,12.62,12.62
100134,2815,139,2024-09-14 09:19:11,1,31.62,31.62
100135,398,276,2024-04-03 09:08:35,1,13.32,13.32
100136,871,291,2023-06-21 13:43:56,1,144.67,144.67
100137,2843,53,2024-05-10 10:10:26,1,35.74,35.74
100138,393,175,2023-04-16 12:46:33,3,201.27,603.81
100139,207,110,2024-10-13 08:18:32,2,133.01,266.02
100140,1039,203,2023-12-15 19:29:40,1,44.02,44.02
100141,1882,436,2024-11-30 20:30:54,1,389.43,389.43
100142,2940,136,2024-01-29 17:13:23,1,59.45,59.45
100143,1485,4,2024-10-19 23:11:58,1,340.77,340.77
100144,864,155,2023-09-21 21:46:30,1,531.67,531.67
100145,2791,172,2023-04-26 16:04:23,1,338.49,338.49
100146,564,424,2022-08-28 19:58:10,1,125.07,125.07
100147,1021,358,2025-02-16 18:19:51,1,118.23,118.23
100148,96,47,2022-12-27 15:05:18,1,102.43,102.43
100149,1924,94,2022-03-09 17:09:21,3,16.59,49.77
100150,1758,428,2023-02-25 10:38:03,1,179.1,179.1
100151,2533,48,2022-05-06 23:37:20,1,26.3,26.3
100152,2279,240,2023-12-30 23:46:55,1,51.5,51.5
100153,2797,347,2024-11-21 01:30:40,3,279.84,839.52
100154,1679,213,2024-02-21 03:26:04,1,45.17,45.17
100155,541,436,2023-04-20 11:41:26,1,160.27,160.27
100156,1060,340,2022-12-12 18:39:54,1,37.7,37.7
100157,2573,324,2025-04-29 09:55:39,5,110.26,551.3
100158,1184,139,2025-02-21 12:22:33,1,107.91,107.91
100159,1723,205,2023-04-01 22:22:40,2,160.09,320.18
100160,1820,381,2022-10-13 00:13:37,1,320.26,320.26
100161,2626,73,2022-07-24 19:13:13,2,31.36,62.72
100162,2730,4,2023-04-25 01:07:32,1,8.69,8.69
100163,2605,76,2022-09-02 01:17:53,1,81.07,81.07
100164,1598,329,2023-11-14 21:03:04,1,33.92,33.92
100165,2694,77,2022-06-30 11:50:22,1,22.92,22.92
100166,796,304,2025-08-01 20:58:23,1,101.03,101.03
100167,1052,256,2025-03-25 21:29:09,1,98.22,98.22
100168,1644,410,2023-01-15 16:57:42,2,42.75,85.5
100169,1364,102,2025-05-10 11:18:26,1,14.62,14.62
100170,1982,106,2024-10-07 07:17:45,2,43.62,87.24
100171,1355,333,2025-04-15 04:05:26,1,87.52,87.52
100172,1664,39,2023-05-19 21:38:59,1,27.15,27.15
100173,1530,476,2022-09-11 23:47:57,1,33.44,33.44
100174,2039,314,2025-01-18 23:19:01,1,153.28,153.28
100175,1497,275,2023-02-24 08:44:18,2,39.79,79.58
100176,2238,88,2023-10-01 06:50:46,1,39.74,39.74
100177,1409,211,2022-10-10 21:32:06,2,16.35,32.7
100178,1401,369,2023-03-17 06:57:32,1,48.54,48.54
100179,1307,77,2022-04-20 11:25:08,3,185.42,556.26
100180,2681,77,2023-05-18 18:50:17,1,20.81,20.81
100181,2676,442,2023-03-03 11:59:35,1,25.85,25.85
100182,973,28,2023-07-21 16:20:04,2,322.93,645.86
100183,1769,245,2024-10-15 00:38:07,4,30.06,120.24
100184,1283,66,2025-01-16 09:52:42,2,139.91,279.82
100185,710,266,2022-04-15 13:14:29,1,286.78,286.78
100186,1480,382,2024-07-11 21:54:40,1,43.5,43.5
100187,1435,470,2023-06-06 11:17:20,2,59.98,119.96
100188,649,205,2024-06-12 02:13:55,4,14.0,56.0
100189,318,58,2022-03-10 00:31:11,1,37.8,37.8
100190,1258,201,2023-01-28 06:09:26,1,75.44,75.44
100191,684,225,2025-08-01 02:51:33,1,43.59,43.59
100192,664,142,2023-05-29 02:46:26,1,71.43,71.43
100193,1999,381,2022-12-04 07:39:25,1,60.24,60.24
100194,1632,368,2024-06-10 21:50:41,1,9.61,9.61
100195,1496,84,2024-11-03 05:28:49,2,88.31,176.62
100196,1137,143,2023-07-28 22:17:13,1,32.24,32.24
100197,1854,352,2024-12-14 09:59:14,4,40.17,160.68
100198,1521,33,2023-06-25 05:11:30,2,23.34,46.68
100199,2490,401,2022-09-18 11:07:51,1,38.18,38.18
100200,564,152,2024-01-20 11:53:03,1,128.46,128.46
100201,1292,158,2022-07-16 08:46:21,3,26.55,79.65
100202,1637,446,2023-07-05 05:24:34,1,12.0,12.0
100203,3000,141,2025-03-20 07:54:48,1,123.84,123.84
100204,699,446,2024-01-05 10:01:01,1,10.75,10.75
100205,2161,251,2022-09-09 05:12:37,1,34.99,34.99
100206,2,303,2023-05-13 20:14:39,1,14.74,14.74
100207,642,112,2024-07-13 10:34:17,1,18.47,18.47
100208,2268,144,2024-08-22 19:03:16,2,23.63,47.26
100209,1590,450,2024-01-26 08:01:24,4,713.73,2854.92
100210,855,209,2025-03-09 23:11:35,2,378.42,756.84
100211,1760,224,2022-01-13 12:53:34,3,90.25,270.75
100212,2433,43,2023-09-26 00:29:30,1,447.81,447.81
100213,1662,264,2025-02-23 19:42:34,1,419.11,419.11
100214,1154,244,2024-06-22 05:14:53,1,96.04,96.04
100215,1077,3,2022-06-01 01:47:37,1,50.0,50.0
100216,1708,125,2022-08-08 13:07:49,1,19.81,19.81
100217,2778,268,2022-12-13 10:47:39,1,92.05,92.05
100218,1696,84,2023-11-07 04:09:32,2,67.52,135.04
100219,1734,16,2023-08-08 20:20:30,1,124.97,124.97
100220,1440,334,2024-11-04 18:58:04,5,19.82,99.1
100221,2295,464,2023-06-11 04:16:36,3,17.38,52.14
100222,836,59,2025-01-28 03:26:21,1,45.09,45.09
100223,203,177,2023-02-06 16:44:40,1,23.54,23.54
100224,123,63,2023-10-07 19:31:01,1,66.06,66.06
100225,401,446,2022-03-26 02:18:10,1,36.83,36.83
100226,767,491,2022-08-03 20:06:01,1,120.01,120.01
100227,294,49,2025-04-30 04:33:45,2,7.29,14.58
100228,2328,307,2025-05-28 10:15:15,2,24.85,49.7
100229,2932,246,2022-12-05 19:47:48,1,31.03,31.03
100230,198,289,2022-01-13 11:26:32,1,9.95,9.95
100231,1931,286,2023-05-08 08:38:33,1,484.95,484.95
100232,2800,443,2023-07-11 08:52:26,1,20.94,20.94
100233,2192,332,2024-03-12 09:40:17,3,107.77,323.31
